st1,st2,st3,lon,lat,area
02P119,950388,960668,131.54690788027798,34.716287233745696,
950388,02P119,021025,131.76619230964198,34.66962507009539,151604396.85469216
950407,02P119,960668,131.378058310257,34.6071367422198,562726404.7904506
950412,950411,950413,131.374510408416,34.0714068748977,240976920.06899935
960669,950411,950407,131.299799120292,34.3203797214564,271992546.6112909
021016,021014,950382,133.75492576974,35.7658731923196,
021014,02P118,950382,133.903639120251,35.7993646101762,
021046,940077,960767,133.37559587985598,34.3210365914295,
031118,970828,021080,132.13529566894798,33.165518504127895,707439379.4127473
021022,950386,940075,132.354052647729,35.070048162781504,120079256.87870382
950386,950384,950383,132.73169893598998,35.553703532407496,
021059,041133,021080,132.347849708085,32.9015205705615,
041133,031118,021080,132.28284062630996,33.0560281642569,447562584.0173086
960742,960739,960743,127.02543990229499,26.4319019514594,
960744,960742,960743,127.063310404866,26.297221169884498,
960742,960744,960739,127.227455102088,26.3755620393474,328619558.3450466
960739,950496,960736,127.67894350539899,26.738048941031998,
021095,950496,960739,127.61738640839101,26.5274789494704,
950496,960738,960736,127.98304699534201,26.779843902451198,334540278.6112278
960744,02P212,960739,127.40129063013,26.322364075009197,
02P212,021095,960739,127.539647329743,26.3670000569646,
02P212,960744,111190,127.546192851792,26.159417649614696,211669837.72516787
960738,960740,021094,128.023897346565,26.5231289045184,117753982.90359202
950496,960740,960738,127.99215810414,26.625940325681402,292682843.09947973
950495,960736,960737,128.195761885059,26.942642241655797,375057658.03657997
950495,960735,960736,128.329869406299,27.123255769830003,
960735,950495,950497,129.42400753821002,26.7522019159263,
950495,021094,950497,129.20501313650698,26.4139378573818,
960738,950495,960737,128.26208107581002,26.8639120111329,53275964.23791894
950495,960738,021094,128.177194195347,26.7062614807626,
960735,141208,960734,128.80482119970299,27.676420950446396,
950494,960730,960729,129.61648573179897,28.8309938636082,
960730,950494,960732,129.688454194233,28.3905881499174,323523278.7549523
960730,960731,960729,129.796444877418,28.8216759918219,
960731,960730,960732,129.86841333985197,28.3812702781311,208255470.4618335
960725,950487,960729,129.886822395429,30.612071679014097,
950460,950459,960691,129.43811766039002,33.2237081712459,
960692,950460,960691,129.26791081944302,33.0648658503999,
950460,960692,970832,129.466291456062,32.9261534833572,
