st1,st2,st3,area
950372,950371,031109,158792947.32240295
950374,031110,121193,67252250.9822726
950374,041130,021011,73943818.46813843
031110,950374,021011,103272888.22258317
141203,940070,970826,
940070,141203,02P208,
141203,960653,031122,
141203,031122,051140,
02P208,141203,051140,
950340,021004,950368,108123449.5522029
950340,960650,950337,157757442.93652514
960650,950340,950368,128997549.80294311
021004,950340,950356,284553323.3328462
950361,950360,950362,108831579.26219556
950358,950352,950354,112744182.83886537
950360,950358,950354,185191689.81064343
950423,950424,031122,
950431,950428,021046,144787446.47490525
950424,950441,031122,74649930.03357597
960675,950441,950424,113276567.74525812
950305,950307,950306,187791715.39205685
020997,950305,950306,155941003.98821086
950305,020997,950303,147515790.44524184
061148,940065,950304,226212404.2469322
061149,061148,960636,87950784.81539768
940065,020998,950304,135814680.94721678
020998,940065,031104,147813918.45261538
950307,020998,031104,100499383.31405951
950305,020998,950307,156036966.8467646
960633,950294,021101,143078044.20894924
950291,950294,031128,137114789.65627846
950300,020994,960629,146448245.22396106
940055,950255,02P112,
940055,02P112,020975,
960648,950347,950345,182829214.69883385
950347,960649,950345,145947963.3948449
960649,950347,950354,162980923.90840402
940057,950327,960640,161813928.3396128
021002,940057,950329,215133551.29024655
950327,940057,960641,165576450.45923352
940057,021002,960641,162200676.3672589
05S051,950125,960531,76347327.90008259
950125,05S051,020878,148117872.34636742
950116,950125,020878,252043155.62156266
960512,020878,940009,202750865.01200554
960512,950118,020878,204587717.05656213
960519,960512,940009,212693617.1520761
020884,950120,950126,321176690.3248406
020884,950130,950129,303671896.2269734
020884,950129,940013,254351054.42986485
950137,950130,960525,137286543.5483424
950130,950137,950129,254627870.1254265
061150,950137,960525,55045883.05611452
950129,950137,950135,234510991.308808
950137,061150,950135,107570432.68194318
950131,950127,950126,141289469.39590308
950127,950131,950130,311478283.7074071
950127,020884,950126,106298104.97932553
020884,950127,950130,247021323.4414651
020890,950133,950141,298287053.82406604
950133,970790,950141,
970790,950133,940012,342066611.42929757
950133,020885,940012,193092445.55818674
020885,950133,020890,260284007.6648079
970790,950132,950141,
